id,token0_symbol,token0_decimals,token0_id,token1_symbol,token1_decimals,token1_id,sqrtPrice,totalValueLockedUSD,totalValueLockedToken0,totalValueLockedToken1,volumeUSD,feeTier,price_token1_per_token0,price_token0_per_token1,pair
0x9db9e0e53058c89e5b94e29621a205198648425b,WBTC,8,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,USDT,6,0xdac17f958d2ee523a2206206994597c13d831ec7,2426929311882089757510103735973,109321861.39978193,841.08612223,30550738.203543,5766330661.689538,3000,3063.21544620594,0.0003264543475838721,WBTC/USDT
0x11950d141ecb863f01007add7d1a342041227b58,PEPE,18,0x6982508145454ce325ddbe47a25d4ec3d2311933,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,5827350214593402483485951,101641860.34694745,4850854981125.92,4131.309569763202,5362062961.641939,3000,7.355150024518416e-05,13595.915741575587,PEPE/WETH
0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDT,6,0xdac17f958d2ee523a2206206994597c13d831ec7,4589130283825272220521903,97833962.00539221,17551.354821863657,39100269.351021,108698241470.50763,500,57922967.518009014,1.726430883723433e-08,WETH/USDT
0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,LINK,18,0x514910771af9ca656af840dff83e8264ecf986ca,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,6313593433928338944896415710,96680113.78290749,2525196.4811054487,12855.113188831672,11568888463.97945,3000,0.07968875250377834,12.548822369287137,LINK/WETH
0x5777d92f208679db4b9778590fa3cab3ac9e2168,DAI,18,0x6b175474e89094c44da98b954eedeac495271d0f,USDC,6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,79226943068862741569878,71802057.49427162,41755032.79294163,30047024.70133,21752891586.1485,100,999984.608435146,1.000015391801758e-06,DAI/USDC
0xf239009a101b6b930a527deaab6961b6e7dec8a6,PEPE,18,0x6982508145454ce325ddbe47a25d4ec3d2311933,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,5855842333598169636075719,70266234.57060851,3685613435717.1826,921.242720866068,340408634.0717747,10000,7.391112134582037e-05,13529.763610555063,PEPE/WETH
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,UNI,18,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4954112982813209780342610519,67732289.97355144,3050168.491524291,8314.35446094593,7759327548.569525,3000,0.06252969683502714,15.992401220788135,UNI/WETH
0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,DAI,18,0x6b175474e89094c44da98b954eedeac495271d0f,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1368597321452815418445734033,54173705.25336875,24034666.535361987,9006.431208786846,15132656308.650864,3000,0.017274126750149124,57.890046452933845,DAI/WETH
0x12d6867fa648d269835cf69b49f125147754b54d,USDC,6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,UST,6,0xa693b19d2931d498c5b318df961919bb4aee87a5,82189699832594239964072987753,50289075.1389889,17341.328929,5071773.578246,348146164.254751,100,1.0373798561565366,0.9639670503194192,USDC/UST
0x5796d7ad51583ae2c7297652edb7006bcd90519d,HKDM,6,0x0071f94350573cd411e40bb409e7ddd927224054,USDM,6,0xbbaec992fc2d637151daf40451f160bf85f3c8c1,28367078342287104646069512630,49697879.07314678,392351515.914257,49694867.664396,0.0,100,0.3580428655931514,2.792961670506549,HKDM/USDM
0xe8f7c89c5efa061e340f2d2f206ec78fd8f7e124,WBTC,8,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,CBBTC,8,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,79191559602494558373209767329,47290852.34541268,42.95714644,461.76770683,4060390844.663553,100,0.9995380063022011,1.0004622072346283,WBTC/CBBTC
