id,pair_symbol,token0_symbol,token1_symbol,token0_id,token1_id,token0_pyth_price,token1_pyth_price,trade_path,gas_cost,uniswap_fee,trade_cost,liquidity_rate_token0,variable_borrow_rate_token0,profitable_token0,liquidity_rate_token1,variable_borrow_rate_token1,profitable_token1
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,UNI/WETH,UNI,WETH,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,13.810565249999999792862581671215593814849853515625,3385.132314360000236774794757366180419921875,WETH -> UNI,0,0.003000,27.08105851488000189419835806,,,,0.0039384502835858002656177490052868961356580257415771484375,0.0184677260000702010700468491677384008653461933135986328125,True
0xe8f7c89c5efa061e340f2d2f206ec78fd8f7e124,WBTC/CBBTC,WBTC,CBBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,95979.7667866499978117644786834716796875,96202.914732620003633201122283935546875,WBTC -> CBBTC,0,0.000100,489.4968106119149888399988413,0,0,True,,,
0xe8f7c89c5efa061e340f2d2f206ec78fd8f7e124,WBTC/CBBTC,WBTC,CBBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,95979.7667866499978117644786834716796875,96202.914732620003633201122283935546875,CBBTC -> WBTC,0,0.000100,490.6348651363620185293257236,,,,0,0,True
0xf239009a101b6b930a527deaab6961b6e7dec8a6,PEPE/WETH,PEPE,WETH,0x6982508145454ce325ddbe47a25d4ec3d2311933,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.00001766630000000000058472428288158795339768403209745883941650390625,3385.132314360000236774794757366180419921875,PEPE -> WETH,0,0.010000,2.649945000000000087708642432E-7,0,0,True,,,
0xf239009a101b6b930a527deaab6961b6e7dec8a6,PEPE/WETH,PEPE,WETH,0x6982508145454ce325ddbe47a25d4ec3d2311933,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.00001766630000000000058472428288158795339768403209745883941650390625,3385.132314360000236774794757366180419921875,WETH -> PEPE,0,0.010000,50.77698471540000355162192136,,,,0.0039384502835858002656177490052868961356580257415771484375,0.0184677260000702010700468491677384008653461933135986328125,True
0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,DAI/WETH,DAI,WETH,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.99996910999999999436482767123379744589328765869140625,3385.132314360000236774794757366180419921875,DAI -> WETH,0,0.003000,0.007999752879999999954918621370,0,0,True,,,
0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,DAI/WETH,DAI,WETH,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.99996910999999999436482767123379744589328765869140625,3385.132314360000236774794757366180419921875,WETH -> DAI,0,0.003000,27.08105851488000189419835806,,,,0.0039384502835858002656177490052868961356580257415771484375,0.0184677260000702010700468491677384008653461933135986328125,True
0x7baece5d47f1bc5e1953fbe0e9931d54dab6d810,TURBO/WETH,TURBO,WETH,0xa35923162c49cf95e6bf26623385eb431ad920d3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.010186989999999999934043870553068700246512889862060546875,3385.132314360000236774794757366180419921875,TURBO -> WETH,0,0.010000,0.0001528048499999999990106580583,0,0,True,,,
0x7baece5d47f1bc5e1953fbe0e9931d54dab6d810,TURBO/WETH,TURBO,WETH,0xa35923162c49cf95e6bf26623385eb431ad920d3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.010186989999999999934043870553068700246512889862060546875,3385.132314360000236774794757366180419921875,WETH -> TURBO,0,0.010000,50.77698471540000355162192136,,,,0.0039384502835858002656177490052868961356580257415771484375,0.0184677260000702010700468491677384008653461933135986328125,True
0x04708077eca6bb527a5bbbd6358ffb043a9c1c14,WETH/METH,WETH,METH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd5f7838f5c461feff7fe49ea5ebaf7728bb0adfa,3385.132314360000236774794757366180419921875,1.0526028099999999998459543348872102797031402587890625,WETH -> METH,0,0.000500,18.61822772898000130226137117,0.0039384502835858002656177490052868961356580257415771484375,0.0184677260000702010700468491677384008653461933135986328125,True,,,
